n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max
1500.0,4.0,0.02,0.17,2.0,0.3529697911062217,0.7478172902163849
1500.0,36.0,0.38,0.17,10.0,0.3529697911062217,0.7478172902163849
900.0,36.0,0.1,0.01,6.0,0.4315865512636056,0.7638307058797407
1900.0,36.0,0.22,0.05,8.0,0.3862946162588091,0.7603311541686625
900.0,28.0,0.26,0.09,2.0,0.3529697911062217,0.7478172902163849
500.0,24.0,0.18,0.15,10.0,0.3579520802038946,0.7500103737469022
900.0,28.0,0.18,0.01,10.0,0.4129030006652867,0.7621225696436918
1500.0,36.0,0.1,0.09,8.0,0.3804226412397307,0.7578184933305975
500.0,4.0,0.26,0.17,2.0,0.3529697911062217,0.7478172902163849
1300.0,8.0,0.1,0.05,4.0,0.395185381282048,0.7614174502749403
1300.0,40.0,0.14,0.01,2.0,0.37564364582106025,0.7586497448032671
300.0,16.0,0.26,0.15,10.0,0.3584489065410329,0.7504326779704148
1900.0,12.0,0.14,0.07,10.0,0.4038851424402742,0.7607004509920622
700.0,28.0,0.14,0.11,10.0,0.3764441717767386,0.757120848044522
1500.0,32.0,0.02,0.17,10.0,0.3529697911062217,0.7478172902163849
1700.0,4.0,0.18,0.17,2.0,0.3529697911062217,0.7478172902163849
1500.0,28.0,0.38,0.15,8.0,0.3530662231216508,0.7478709666243256
900.0,12.0,0.34,0.15,6.0,0.3529697911062217,0.7478172902163849
1500.0,40.0,0.02,0.17,8.0,0.3529697911062217,0.7478172902163849
300.0,24.0,0.22,0.17,10.0,0.35316265513707995,0.7479244221416986
500.0,28.0,0.14,0.11,4.0,0.3594975790502599,0.7509217387815235
1500.0,40.0,0.34,0.11,6.0,0.3576481840012359,0.7502698639785874
1500.0,40.0,0.22,0.17,8.0,0.3529697911062217,0.7478172902163849
1300.0,24.0,0.22,0.01,4.0,0.3717440807018048,0.7568455073427396
100.0,20.0,0.14,0.01,8.0,0.4235299344818008,0.761424017155088
1100.0,36.0,0.14,0.07,6.0,0.3870046622649341,0.7590908499749117
1300.0,4.0,0.1,0.01,2.0,0.3744261932648955,0.7584524444294585
500.0,4.0,0.3,0.17,10.0,0.3532590871525091,0.7479776581292262
100.0,32.0,0.06,0.09,4.0,0.3676210425304577,0.7543001295358268
1500.0,4.0,0.1,0.01,6.0,0.3982178779377507,0.7638357035292209
300.0,32.0,0.06,0.01,6.0,0.4527991769628138,0.7607271817843078
300.0,16.0,0.22,0.11,10.0,0.3773998660182208,0.7571037184733199
1100.0,32.0,0.06,0.13,10.0,0.36685336170382177,0.7541283500933249
1500.0,28.0,0.22,0.11,6.0,0.36653701203721945,0.7539775507808268
900.0,32.0,0.38,0.11,10.0,0.36291079835395,0.7530003637461966
900.0,32.0,0.02,0.09,4.0,0.3660384081992817,0.7538613407429937
900.0,36.0,0.06,0.17,4.0,0.3529697911062217,0.7478172902163849
700.0,40.0,0.18,0.13,6.0,0.3580327242227129,0.7498503462129731
1300.0,4.0,0.38,0.15,10.0,0.3543325985204301,0.7485375548489709
1500.0,16.0,0.26,0.11,4.0,0.3558956028292393,0.749199042823976
1300.0,28.0,0.26,0.09,10.0,0.3753218485250627,0.7568173749217177
1500.0,8.0,0.06,0.03,2.0,0.3969504777971101,0.7629900174615323
1500.0,32.0,0.18,0.15,6.0,0.3529697911062217,0.7478172902163849
1700.0,24.0,0.14,0.17,2.0,0.3529697911062217,0.7478172902163849
700.0,32.0,0.26,0.05,2.0,0.3548115801441044,0.7487676267724696
900.0,20.0,0.3,0.13,4.0,0.3529697911062217,0.7478172902163849
