n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max,time
1100.0,36.0,0.26,0.19,6.0,0.3529697911062217,0.7478172902163849,0.20561627168121527
1700.0,16.0,0.3,0.19,8.0,0.3529697911062217,0.7478172902163849,0.35989980800442906
1900.0,28.0,0.3,0.03,2.0,0.3539373871347492,0.7483079711972896,0.3511078081882227
1100.0,20.0,0.18,0.13,6.0,0.35803845318369715,0.7498761506308856,0.24463287723245136
1500.0,20.0,0.34,0.15,8.0,0.3532586244269072,0.7479725605075502,0.34598590072797974
1300.0,12.0,0.1,0.13,2.0,0.3529697911062217,0.7478172902163849,0.21190587296356717
700.0,36.0,0.26,0.09,6.0,0.3665366442350793,0.7540998919654462,0.16778868776300965
900.0,12.0,0.38,0.07,4.0,0.3556035579516773,0.7492246814314478,0.17689813579769437
1300.0,36.0,0.02,0.03,6.0,0.4361771278500976,0.7627426328487874,0.5013138532185337
300.0,24.0,0.14,0.05,4.0,0.3869576336509532,0.7608995690827361,0.06385885559779506
1500.0,12.0,0.02,0.01,4.0,0.4673142104245412,0.7615550263895615,0.5851256053945485
100.0,12.0,0.1,0.17,10.0,0.3530671620896686,0.7478636807733293,0.008865422884012927
300.0,4.0,0.38,0.15,6.0,0.3529697911062217,0.7478172902163849,0.04786398702523309
1500.0,36.0,0.06,0.09,8.0,0.3804226412397307,0.7578184933305975,0.46500871843136604
1700.0,32.0,0.14,0.11,6.0,0.3663408232914993,0.7538787298421298,0.4158930296782213
1500.0,8.0,0.34,0.17,10.0,0.3529697911062217,0.7478172902163849,0.36767076501604157
1100.0,36.0,0.34,0.11,8.0,0.3618438727208616,0.752448413505016,0.2792956264718303
1700.0,8.0,0.34,0.19,10.0,0.3529697911062217,0.7478172902163849,0.39284151614745394
1900.0,40.0,0.26,0.05,10.0,0.3862697960192697,0.7597081185683389,0.7360814293372441
1100.0,12.0,0.18,0.01,4.0,0.3813180081104539,0.7587937427097916,0.30151296677405953
1700.0,40.0,0.3,0.11,6.0,0.35950737608110866,0.7510868774851607,0.39706481039555025
1300.0,28.0,0.02,0.01,8.0,0.4894869885058559,0.7588533755805137,0.8241319946641956
100.0,40.0,0.14,0.15,4.0,0.3529697911062217,0.7478172902163849,0.003014867928927297
1300.0,40.0,0.38,0.01,2.0,0.3529697911062217,0.7478172902163849,0.22765309841131326
1900.0,36.0,0.22,0.09,10.0,0.3803168130596783,0.7571754095549109,0.6549255864527895
700.0,36.0,0.3,0.05,2.0,0.3533539986581319,0.7480097998838346,0.11621973197825637
500.0,16.0,0.1,0.13,4.0,0.3537426807208285,0.748204474617264,0.0867785254067069
100.0,12.0,0.1,0.07,8.0,0.3937784111976639,0.7600551417631468,0.019689813618027886
100.0,16.0,0.34,0.19,8.0,0.3529697911062217,0.7478172902163849,0.00535127579849419
900.0,28.0,0.34,0.17,8.0,0.3529697911062217,0.7478172902163849,0.1945486821790613
500.0,40.0,0.06,0.05,10.0,0.4271677901481626,0.7611296810395147,0.22120948008442637
900.0,28.0,0.3,0.15,8.0,0.3547208653169247,0.7485682531950568,0.20720900031070316
1900.0,32.0,0.34,0.03,8.0,0.3697738211972583,0.7560146493025528,0.6173471836491133
1300.0,20.0,0.06,0.07,8.0,0.39604654466149225,0.7610883010401012,0.45126934748178427
100.0,28.0,0.06,0.15,10.0,0.3565054865089042,0.7490948675794337,0.010816828313615249
100.0,12.0,0.34,0.09,2.0,0.3529697911062217,0.7478172902163849,0.0011542434261636106
1900.0,20.0,0.34,0.13,4.0,0.3529697911062217,0.7478172902163849,0.3613929817690766
700.0,12.0,0.3,0.13,8.0,0.35920736781431983,0.7504723736357886,0.1683044690646217
1300.0,12.0,0.18,0.01,8.0,0.40640796718388783,0.7624912976101749,0.5494609986882643
100.0,8.0,0.02,0.19,6.0,0.3529697911062217,0.7478172902163849,0.003584036347772549
700.0,4.0,0.1,0.13,2.0,0.3529697911062217,0.7478172902163849,0.10667991845874399
1700.0,32.0,0.38,0.15,2.0,0.3529697911062217,0.7478172902163849,0.2678980399794048
1700.0,8.0,0.38,0.19,2.0,0.3529697911062217,0.7478172902163849,0.2619888564993553
1300.0,36.0,0.3,0.19,6.0,0.3529697911062217,0.7478172902163849,0.24626632178033747
1900.0,28.0,0.38,0.15,4.0,0.3529697911062217,0.7478172902163849,0.34617490512557814
300.0,12.0,0.34,0.01,6.0,0.3660577431639707,0.7541761953160251,0.07106787631300528
1900.0,20.0,0.26,0.19,4.0,0.3529697911062217,0.7478172902163849,0.33022281587718283
1300.0,24.0,0.14,0.17,4.0,0.3529697911062217,0.7478172902163849,0.22922796034437626
500.0,16.0,0.34,0.17,2.0,0.3529697911062217,0.7478172902163849,0.0667268850427994
1100.0,24.0,0.18,0.05,2.0,0.3628065755671167,0.7526454135234629,0.2067248294162492
900.0,24.0,0.26,0.13,2.0,0.3529697911062217,0.7478172902163849,0.14185590863861586
1100.0,4.0,0.14,0.17,6.0,0.3529697911062217,0.7478172902163849,0.21586028937148927
500.0,20.0,0.34,0.03,8.0,0.3699719567654996,0.7560894653457197,0.15123826057775852
500.0,24.0,0.34,0.05,10.0,0.3746561936162504,0.7572200444270429,0.16627935235355173
1500.0,40.0,0.14,0.11,4.0,0.3585294095825883,0.7505564449293812,0.3114460440083002
1500.0,16.0,0.3,0.17,10.0,0.3529697911062217,0.7478172902163849,0.36793757689988404
1500.0,32.0,0.1,0.13,10.0,0.3679144123053651,0.7546578018921549,0.4335173078074139
1500.0,16.0,0.22,0.13,10.0,0.3679144123053651,0.7546578018921549,0.4338109350392739
700.0,20.0,0.34,0.17,2.0,0.3529697911062217,0.7478172902163849,0.10013497007490943
300.0,8.0,0.22,0.01,8.0,0.3963427270687201,0.7629541384224139,0.10667709370980885
500.0,12.0,0.34,0.11,8.0,0.3629150472776065,0.7525648876930701,0.11811066610085814
1900.0,16.0,0.18,0.05,8.0,0.3928972901354436,0.7605964529105603,0.6956389848943966
500.0,8.0,0.18,0.03,10.0,0.4096660396435408,0.7613542946011883,0.21952769853478482
100.0,8.0,0.3,0.03,6.0,0.3688940483265883,0.7554462059513317,0.013275394140630292
500.0,16.0,0.38,0.01,8.0,0.3673305133235768,0.7550809319644904,0.1490587047039153
100.0,4.0,0.26,0.01,4.0,0.3657640212476635,0.7542735957233552,0.009014803004336647
300.0,4.0,0.22,0.05,8.0,0.3844076986832301,0.7598927003344891,0.08907300711555527
