binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(34.62, 37.27]","(12700.377, 14029.26]","(2.241, 4.223]","(8.076, 10.721]","(11432.247, 12751.733]","(4e-05, 2.027]","(13.43, 16.072]","(25914.672, 27238.051]","(2.035, 4.031]",8086.0,1314.0
"(29.32, 31.97]","(15358.143, 16687.027]","(6.204, 8.185]","(21.303, 23.948]","(12751.733, 14071.22]","(2.027, 4.025]","(0.18, 2.862]","(17974.396, 19297.775]","(10.017, 12.012]",7183.0,1484.0
"(34.62, 37.27]","(16687.027, 18015.91]","(18.092, 20.073]","(2.785, 5.431]","(10092.968, 11432.247]","(20.003, 22.001]","(34.566, 37.208]","(23267.913, 24591.293]","(19.993, 21.989]",467.0,93.0
"(37.27, 39.92]","(16687.027, 18015.91]","(24.036, 26.017]","(0.1, 2.785]","(27266.087, 28585.573]","(27.993, 29.99]","(16.072, 18.714]","(17974.396, 19297.775]","(6.026, 8.021]",15.0,9.0
"(10.77, 13.42]","(10022.677, 11371.493]","(27.999, 29.98]","(5.431, 8.076]","(20668.653, 21988.14]","(27.993, 29.99]","(26.64, 29.282]","(21944.534, 23267.913]","(2.035, 4.031]",0.0,0.0
"(8.12, 10.77]","(18015.91, 19344.793]","(16.111, 18.092]","(10.721, 13.367]","(23307.627, 24627.113]","(23.998, 25.995]","(34.566, 37.208]","(10014.269, 11357.499]","(14.007, 16.003]",0.0,0.0
"(31.97, 34.62]","(11371.493, 12700.377]","(20.073, 22.055]","(23.948, 26.593]","(25946.6, 27266.087]","(23.998, 25.995]","(23.998, 26.64]","(14004.258, 15327.637]","(4.031, 6.026]",22382.0,5260.0
"(18.72, 21.37]","(11371.493, 12700.377]","(24.036, 26.017]","(37.175, 39.82]","(14071.22, 15390.707]","(23.998, 25.995]","(0.18, 2.862]","(28561.431, 29884.81]","(21.989, 23.984]",7277.0,1610.0
"(24.02, 26.67]","(22002.56, 23331.443]","(0.23, 2.241]","(31.884, 34.529]","(28585.573, 29905.06]","(4e-05, 2.027]","(13.43, 16.072]","(20621.155, 21944.534]","(2.035, 4.031]",25877.0,6050.0
"(10.77, 13.42]","(28646.977, 29975.86]","(26.017, 27.999]","(37.175, 39.82]","(21988.14, 23307.627]","(16.009, 18.006]","(31.924, 34.566]","(27238.051, 28561.431]","(8.021, 10.017]",20210.0,3659.0
"(26.67, 29.32]","(15358.143, 16687.027]","(27.999, 29.98]","(29.239, 31.884]","(23307.627, 24627.113]","(4.025, 6.022]","(21.356, 23.998]","(10014.269, 11357.499]","(6.026, 8.021]",18059.0,4608.0
"(31.97, 34.62]","(10022.677, 11371.493]","(16.111, 18.092]","(21.303, 23.948]","(28585.573, 29905.06]","(25.995, 27.993]","(13.43, 16.072]","(24591.293, 25914.672]","(16.003, 17.998]",26072.0,5863.0
"(0.13, 2.82]","(22002.56, 23331.443]","(0.23, 2.241]","(18.657, 21.303]","(18029.68, 19349.167]","(23.998, 25.995]","(29.282, 31.924]","(25914.672, 27238.051]","(0.0101, 2.035]",15624.0,2668.0
"(26.67, 29.32]","(25989.21, 27318.093]","(18.092, 20.073]","(21.303, 23.948]","(11432.247, 12751.733]","(10.017, 12.014]","(26.64, 29.282]","(28561.431, 29884.81]","(21.989, 23.984]",8850.0,1440.0
"(13.42, 16.07]","(22002.56, 23331.443]","(10.167, 12.148]","(29.239, 31.884]","(14071.22, 15390.707]","(23.998, 25.995]","(23.998, 26.64]","(15327.637, 16651.017]","(27.975, 29.97]",11644.0,2178.0
"(13.42, 16.07]","(24660.327, 25989.21]","(12.148, 14.129]","(2.785, 5.431]","(24627.113, 25946.6]","(12.014, 14.011]","(26.64, 29.282]","(20621.155, 21944.534]","(23.984, 25.979]",5149.0,1252.0
"(31.97, 34.62]","(22002.56, 23331.443]","(10.167, 12.148]","(0.1, 2.785]","(21988.14, 23307.627]","(14.011, 16.009]","(34.566, 37.208]","(21944.534, 23267.913]","(16.003, 17.998]",4875.0,1072.0
"(2.82, 5.47]","(22002.56, 23331.443]","(4.223, 6.204]","(21.303, 23.948]","(24627.113, 25946.6]","(20.003, 22.001]","(0.18, 2.862]","(16651.017, 17974.396]","(16.003, 17.998]",12649.0,3138.0
"(21.37, 24.02]","(10022.677, 11371.493]","(22.055, 24.036]","(5.431, 8.076]","(19349.167, 20668.653]","(23.998, 25.995]","(10.788, 13.43]","(27238.051, 28561.431]","(0.0101, 2.035]",711.0,163.0
"(31.97, 34.62]","(23331.443, 24660.327]","(22.055, 24.036]","(5.431, 8.076]","(11432.247, 12751.733]","(10.017, 12.014]","(31.924, 34.566]","(16651.017, 17974.396]","(6.026, 8.021]",6023.0,1051.0
"(29.32, 31.97]","(28646.977, 29975.86]","(27.999, 29.98]","(34.529, 37.175]","(16710.193, 18029.68]","(16.009, 18.006]","(37.208, 39.85]","(10014.269, 11357.499]","(12.012, 14.007]",13449.0,3052.0
"(29.32, 31.97]","(22002.56, 23331.443]","(26.017, 27.999]","(26.593, 29.239]","(12751.733, 14071.22]","(2.027, 4.025]","(18.714, 21.356]","(25914.672, 27238.051]","(4.031, 6.026]",11729.0,1995.0
"(2.82, 5.47]","(28646.977, 29975.86]","(16.111, 18.092]","(13.367, 16.012]","(11432.247, 12751.733]","(23.998, 25.995]","(0.18, 2.862]","(10014.269, 11357.499]","(27.975, 29.97]",183.0,58.0
"(24.02, 26.67]","(14029.26, 15358.143]","(20.073, 22.055]","(0.1, 2.785]","(21988.14, 23307.627]","(10.017, 12.014]","(29.282, 31.924]","(10014.269, 11357.499]","(14.007, 16.003]",3588.0,1177.0
"(37.27, 39.92]","(18015.91, 19344.793]","(18.092, 20.073]","(26.593, 29.239]","(11432.247, 12751.733]","(8.019, 10.017]","(34.566, 37.208]","(17974.396, 19297.775]","(10.017, 12.012]",7934.0,1367.0
"(13.42, 16.07]","(22002.56, 23331.443]","(18.092, 20.073]","(2.785, 5.431]","(18029.68, 19349.167]","(2.027, 4.025]","(37.208, 39.85]","(19297.775, 20621.155]","(27.975, 29.97]",19510.0,3934.0
"(26.67, 29.32]","(16687.027, 18015.91]","(22.055, 24.036]","(5.431, 8.076]","(18029.68, 19349.167]","(18.006, 20.003]","(31.924, 34.566]","(19297.775, 20621.155]","(0.0101, 2.035]",2969.0,649.0
"(2.82, 5.47]","(27318.093, 28646.977]","(24.036, 26.017]","(37.175, 39.82]","(20668.653, 21988.14]","(25.995, 27.993]","(29.282, 31.924]","(10014.269, 11357.499]","(10.017, 12.012]",12673.0,2706.0
"(34.62, 37.27]","(27318.093, 28646.977]","(24.036, 26.017]","(21.303, 23.948]","(10092.968, 11432.247]","(6.022, 8.019]","(18.714, 21.356]","(10014.269, 11357.499]","(16.003, 17.998]",2510.0,503.0
"(31.97, 34.62]","(24660.327, 25989.21]","(26.017, 27.999]","(29.239, 31.884]","(15390.707, 16710.193]","(25.995, 27.993]","(31.924, 34.566]","(19297.775, 20621.155]","(4.031, 6.026]",15404.0,2884.0
"(10.77, 13.42]","(25989.21, 27318.093]","(20.073, 22.055]","(18.657, 21.303]","(20668.653, 21988.14]","(10.017, 12.014]","(2.862, 5.504]","(16651.017, 17974.396]","(23.984, 25.979]",9382.0,2178.0
"(29.32, 31.97]","(11371.493, 12700.377]","(26.017, 27.999]","(29.239, 31.884]","(20668.653, 21988.14]","(2.027, 4.025]","(0.18, 2.862]","(12680.879, 14004.258]","(10.017, 12.012]",14283.0,3825.0
"(34.62, 37.27]","(27318.093, 28646.977]","(4.223, 6.204]","(8.076, 10.721]","(12751.733, 14071.22]","(16.009, 18.006]","(18.714, 21.356]","(16651.017, 17974.396]","(17.998, 19.993]",9993.0,1803.0
"(10.77, 13.42]","(19344.793, 20673.677]","(12.148, 14.129]","(21.303, 23.948]","(11432.247, 12751.733]","(14.011, 16.009]","(26.64, 29.282]","(10014.269, 11357.499]","(16.003, 17.998]",3976.0,790.0
"(16.07, 18.72]","(19344.793, 20673.677]","(18.092, 20.073]","(21.303, 23.948]","(21988.14, 23307.627]","(6.022, 8.019]","(16.072, 18.714]","(23267.913, 24591.293]","(12.012, 14.007]",23788.0,5044.0
"(18.72, 21.37]","(28646.977, 29975.86]","(6.204, 8.185]","(5.431, 8.076]","(14071.22, 15390.707]","(4.025, 6.022]","(5.504, 8.146]","(27238.051, 28561.431]","(2.035, 4.031]",13941.0,2425.0
"(5.47, 8.12]","(28646.977, 29975.86]","(0.23, 2.241]","(31.884, 34.529]","(18029.68, 19349.167]","(23.998, 25.995]","(0.18, 2.862]","(19297.775, 20621.155]","(14.007, 16.003]",12910.0,3237.0
"(10.77, 13.42]","(12700.377, 14029.26]","(22.055, 24.036]","(5.431, 8.076]","(23307.627, 24627.113]","(10.017, 12.014]","(23.998, 26.64]","(11357.499, 12680.879]","(16.003, 17.998]",9717.0,2537.0
"(31.97, 34.62]","(28646.977, 29975.86]","(18.092, 20.073]","(18.657, 21.303]","(15390.707, 16710.193]","(4e-05, 2.027]","(10.788, 13.43]","(16651.017, 17974.396]","(16.003, 17.998]",13472.0,2551.0
"(16.07, 18.72]","(25989.21, 27318.093]","(4.223, 6.204]","(13.367, 16.012]","(25946.6, 27266.087]","(8.019, 10.017]","(34.566, 37.208]","(20621.155, 21944.534]","(12.012, 14.007]",25507.0,5865.0
"(29.32, 31.97]","(18015.91, 19344.793]","(16.111, 18.092]","(8.076, 10.721]","(27266.087, 28585.573]","(25.995, 27.993]","(37.208, 39.85]","(16651.017, 17974.396]","(17.998, 19.993]",343.0,102.0
"(5.47, 8.12]","(28646.977, 29975.86]","(12.148, 14.129]","(29.239, 31.884]","(19349.167, 20668.653]","(6.022, 8.019]","(37.208, 39.85]","(20621.155, 21944.534]","(27.975, 29.97]",16179.0,2873.0
"(5.47, 8.12]","(27318.093, 28646.977]","(16.111, 18.092]","(29.239, 31.884]","(24627.113, 25946.6]","(12.014, 14.011]","(13.43, 16.072]","(15327.637, 16651.017]","(23.984, 25.979]",19380.0,3916.0
"(8.12, 10.77]","(14029.26, 15358.143]","(6.204, 8.185]","(26.593, 29.239]","(25946.6, 27266.087]","(16.009, 18.006]","(31.924, 34.566]","(24591.293, 25914.672]","(12.012, 14.007]",26079.0,5802.0
"(26.67, 29.32]","(20673.677, 22002.56]","(2.241, 4.223]","(29.239, 31.884]","(14071.22, 15390.707]","(20.003, 22.001]","(2.862, 5.504]","(12680.879, 14004.258]","(0.0101, 2.035]",10348.0,2009.0
"(16.07, 18.72]","(27318.093, 28646.977]","(10.167, 12.148]","(29.239, 31.884]","(15390.707, 16710.193]","(8.019, 10.017]","(18.714, 21.356]","(17974.396, 19297.775]","(12.012, 14.007]",14642.0,2772.0
"(5.47, 8.12]","(16687.027, 18015.91]","(27.999, 29.98]","(18.657, 21.303]","(12751.733, 14071.22]","(25.995, 27.993]","(18.714, 21.356]","(19297.775, 20621.155]","(12.012, 14.007]",5912.0,950.0
