hidden_layer_sizes,alpha,batch_size,learning_rate_init,max_iter,beta_1,beta_2,epsilon,n_iter_no_change,explained_variance_max,max_error
3.0,0.01,32.0,0.01,50.0,0.93,0.993,1e-08,20.0,1.1102230246251566e-17,0.6129163039588755
9.0,0.0001,32.0,1.0,300.0,0.96,0.9990000000000001,1e-06,5.0,7.771561172376094e-17,0.6139514580347826
3.0,0.0005,64.0,1.0,100.0,0.9,0.9990000000000001,1e-06,5.0,2.2204460492503126e-17,0.6010370315846869
27.0,0.005,64.0,1.0,50.0,0.9,0.996,0.1,20.0,6.246974632029277e-08,0.5692948194852543
6.0,0.01,1024.0,1.0,300.0,0.9,0.9990000000000001,0.0001,10.0,3.330669073875469e-17,0.6086698741995514
15.0,0.005,1024.0,1.0,300.0,0.9,0.996,0.01,10.0,5.551115123125783e-17,0.6043057076576975
15.0,0.0005,1024.0,0.1,500.0,0.99,0.996,1e-08,20.0,3.330669073875469e-17,0.6176957333260846
24.0,0.01,256.0,1.0,200.0,0.99,0.9990000000000001,0.1,20.0,1.1102230246251563e-16,0.6235889399395267
12.0,0.001,256.0,1.0,200.0,0.96,0.99,0.01,20.0,4.4993726688080656e-05,0.6283240215166908
3.0,0.005,1024.0,1.0,50.0,0.96,0.993,1e-08,20.0,4.440892098500625e-17,0.6033154359637579
18.0,0.0001,64.0,0.1,200.0,0.96,0.99,0.01,5.0,0.00039765853990230137,0.6389311405580089
9.0,0.01,32.0,0.1,50.0,0.93,0.9990000000000001,0.0001,20.0,1.1102230246251566e-17,0.6377413293097388
18.0,0.0005,64.0,0.1,200.0,0.93,0.996,0.1,10.0,0.0004862316941142363,0.6240802637569555
21.0,0.001,32.0,1.0,100.0,0.9,0.9990000000000001,0.01,5.0,4.440892098500625e-17,0.5943354201236349
30.0,0.005,128.0,0.1,500.0,0.96,0.9990000000000001,0.01,5.0,0.013118516014252691,0.8414368545868707
18.0,0.05,256.0,0.1,50.0,0.96,0.996,1e-08,5.0,1.3412667445245053e-05,0.6006826250929028
12.0,0.005,32.0,0.1,200.0,0.96,0.99,1e-08,20.0,2.3991919562149632e-14,0.6210849131639391
21.0,0.005,128.0,1.0,100.0,0.99,0.9990000000000001,0.1,20.0,4.440892098500625e-17,0.5769077762511781
24.0,0.001,512.0,0.1,500.0,0.93,0.9990000000000001,0.01,5.0,0.0301021456110394,0.7198514905398701
12.0,0.01,128.0,1.0,50.0,0.96,0.9990000000000001,0.0001,20.0,1.1102230246251566e-17,0.6116327484371551
