binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,Cost
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]",14445.0,0.5275359784222222
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",13461.0,0.6011406412444443
"(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",14594.0,0.6437802636666669
"(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",15636.0,0.5761002801333334
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",9945.0,0.5253471916666667
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]",21715.0,0.6456733965777778
"(4.975, 17.5]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]",10553.0,0.4818413256444445
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(22.993, 26.5]","(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(14.993, 18.5]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(26.5, 30.0]",6092.0,0.4807258128222222
"(17.5, 30.0]","(9980.0, 20000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(17.5, 30.0]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(26.5, 30.0]",15118.0,0.5711261606888889
"(4.975, 17.5]","(20000.0, 30000.0]","(-0.02, 10.0]","(1.1, 1.35]","(14.993, 18.5]","(26.5, 30.0]","(17.5, 30.0]","(9980.0, 20000.0]","(10.0, 20.0]","(1.1, 1.35]","(18.5, 22.0]","(22.993, 26.5]","(4.975, 17.5]","(20000.0, 30000.0]","(10.0, 20.0]","(1.35, 1.6]","(18.5, 22.0]","(22.993, 26.5]",1617.0,0.5477513995777779
